Date,HE,MW
1/18/23,10,1948.248419
1/18/23,11,1611.137394
1/18/23,12,1480.304953
1/18/23,13,2738.134412
1/18/23,14,3034.73435
1/18/23,15,3286.202764
1/18/23,16,5145.429441
1/18/23,17,4494.600201
1/18/23,18,4374.835221
1/18/23,19,6271.339169
1/18/23,20,7153.822182
1/18/23,21,6918.615793
1/18/23,22,6560.704102
1/18/23,23,6934.086779
1/18/23,24,6998.801841
1/19/23,1,6800.536234
1/19/23,2,4659.431298
1/19/23,3,4913.919861
1/19/23,4,3146.007948
1/19/23,5,3862.293377
1/19/23,6,3472.708117
1/19/23,7,3387.083594
1/19/23,8,2910.614456
1/19/23,9,3970.069585
1/19/23,10,3798.826891
1/19/23,11,4602.258534
1/19/23,12,3739.046673
1/19/23,13,3810.676017
1/19/23,14,6563.673875
1/19/23,15,6606.00337
1/19/23,16,8843.74988
1/19/23,17,8111.706839
1/19/23,18,7681.935531
1/19/23,19,8296.383631
1/19/23,20,8394.920943
1/19/23,21,7389.52221
1/19/23,22,8772.485995
1/19/23,23,7619.454857
1/19/23,24,8544.812777
1/20/23,1,8986.274624
1/20/23,2,8125.994907
1/20/23,3,8857.777335
1/20/23,4,9741.233844
1/20/23,5,9224.705865
1/20/23,6,8523.404936
1/20/23,7,8719.80061
1/20/23,8,8706.927051
1/20/23,9,8021.64348
1/20/23,10,7609.895296
1/20/23,11,7205.198124
1/20/23,12,8094.36735
1/20/23,13,9659.796195
1/20/23,14,6654.278918
1/20/23,15,7777.508169
1/20/23,16,6419.305819
1/20/23,17,5324.479228
1/20/23,18,6177.454639
1/20/23,19,5523.370157
1/20/23,20,4278.702258
1/20/23,21,2847.491778
1/20/23,22,2405.735155
1/20/23,23,3601.884758
1/20/23,24,1189.455656
1/21/23,1,1718.3422
1/21/23,2,2367.33837
1/21/23,3,1434.252018
1/21/23,4,1818.700556
1/21/23,5,2106.051313
1/21/23,6,2535.11848
1/21/23,7,928.9012631
1/21/23,8,2046.411482
1/21/23,9,1018.244197
1/21/23,10,1066.212083
1/21/23,11,165.803931
1/21/23,12,328.0025189
1/21/23,13,356.526245
1/21/23,14,179.7141323
1/21/23,15,-14.32581657
1/21/23,16,1456.184061
1/21/23,17,912.5318133
1/21/23,18,503.030086
1/21/23,19,764.3084957
1/21/23,20,-2.774716261
1/21/23,21,-861.2092911
1/21/23,22,2359.559725
1/21/23,23,1369.325594
1/21/23,24,845.434004
1/22/23,1,891.8588893
1/22/23,2,1240.343017
1/22/23,3,-420.1503979
1/22/23,4,27.82763463
1/22/23,5,763.4322489
1/22/23,6,521.5727116
1/22/23,7,1599.657688
1/22/23,8,1308.858826
1/22/23,9,938.9613079
1/22/23,10,658.8586971
1/22/23,11,2299.666475
1/22/23,12,1053.922398
1/22/23,13,1242.301486
1/22/23,14,1161.737757
1/22/23,15,522.2380943
1/22/23,16,2227.615763
1/22/23,17,723.3126892
1/22/23,18,677.5977217
1/22/23,19,360.6409852
1/22/23,20,754.0311191
1/22/23,21,209.5750791
1/22/23,22,-288.5070247
1/22/23,23,1754.280648
1/22/23,24,879.7362298
1/23/23,1,2897.994106
1/23/23,2,1782.308266
1/23/23,4,3539.023017
1/23/23,5,3453.960461
1/23/23,6,3476.636345
1/23/23,7,1743.620845
1/23/23,8,2286.29344
