Date,HE,Area,MW,,,
1/18/23,11,RTO,2578.816,,,
1/18/23,12,RTO,2823.195,,,
1/18/23,13,RTO,2749.565,,,
1/18/23,14,RTO,3024.317,,,
1/18/23,15,RTO,3939.588,,,
1/18/23,16,RTO,3970.121,,,
1/18/23,17,RTO,4645.988,,,
1/18/23,18,RTO,5382.3,,,
1/18/23,19,RTO,6331.213,,,
1/18/23,20,RTO,6841.982,,,
1/18/23,21,RTO,7076.862,,,
1/18/23,22,RTO,7391.992,,,
1/18/23,23,RTO,7344.684,,,
1/18/23,24,RTO,7078.388,,,
1/19/23,1,RTO,6443.177,,,
1/19/23,2,RTO,5154.17,,,
1/19/23,3,RTO,3882.899,,,
1/19/23,4,RTO,3165.991,,,
1/19/23,5,RTO,3178.462,,,
1/19/23,6,RTO,3635.143,,,
1/19/23,7,RTO,3674.022,,,
1/19/23,8,RTO,3538.243,,,
1/19/23,9,RTO,3901.507,,,
1/19/23,10,RTO,4033.542,,,
1/19/23,11,RTO,4098.726,,,
1/19/23,12,RTO,4604.599,,,
1/19/23,13,RTO,5153.815,,,
1/19/23,14,RTO,6263.256,,,
1/19/23,15,RTO,7544.229,,,
1/19/23,16,RTO,7899.969,,,
1/19/23,17,RTO,8499.854,,,
1/19/23,18,RTO,8382.704,,,
1/19/23,19,RTO,8491.834,,,
1/19/23,20,RTO,8447.865,,,
1/19/23,21,RTO,8615.541,,,
1/19/23,22,RTO,9077.162,,,
1/19/23,23,RTO,9203.855,,,
1/19/23,24,RTO,9285.759,,,
1/20/23,1,RTO,9372.868,,,
1/20/23,2,RTO,9205.496,,,
1/20/23,3,RTO,9108.688,,,
1/20/23,4,RTO,9049.248,,,
1/20/23,5,RTO,8922.876,,,
1/20/23,6,RTO,8881.586,,,
1/20/23,7,RTO,8775.775,,,
1/20/23,8,RTO,8764.954,,,
1/20/23,9,RTO,8564.632,,,
1/20/23,10,RTO,8315.929,,,
1/20/23,11,RTO,8199.488,,,
1/20/23,12,RTO,8328.225,,,
1/20/23,13,RTO,8192.742,,,
1/20/23,14,RTO,7584.669,,,
1/20/23,15,RTO,7407.209,,,
1/20/23,16,RTO,7211.652,,,
1/20/23,17,RTO,6740.645,,,
1/20/23,18,RTO,5984.436,,,
1/20/23,19,RTO,5345.05,,,
1/20/23,20,RTO,4628.553,,,
1/20/23,21,RTO,3784.795,,,
1/20/23,22,RTO,3037.656,,,
1/20/23,23,RTO,2470.479,,,
1/20/23,24,RTO,2025.667,,,
1/21/23,1,RTO,1852.9,,,
1/21/23,2,RTO,1747.205,,,
1/21/23,3,RTO,1706.644,,,
1/21/23,4,RTO,1551.326,,,
1/21/23,5,RTO,1555.124,,,
1/21/23,6,RTO,1502.578,,,
1/21/23,7,RTO,1418.223,,,
1/21/23,8,RTO,1373.919,,,
1/21/23,9,RTO,1181.284,,,
1/21/23,10,RTO,933.25,,,
1/21/23,11,RTO,788.878,,,
1/21/23,13,RTO,633.109,,,
1/21/23,14,RTO,572.272,,,
1/21/23,15,RTO,611.532,,,
1/21/23,16,RTO,577.767,,,
1/21/23,17,RTO,379.092,,,
1/21/23,18,RTO,216.196,,,
1/21/23,19,RTO,138.238,,,
1/21/23,20,RTO,191.685,,,
1/21/23,21,RTO,331.69,,,
1/21/23,22,RTO,709.789,,,
1/21/23,23,RTO,985.319,,,
1/21/23,24,RTO,901.052,,,
1/22/23,1,RTO,963.252,,,
1/22/23,2,RTO,1085.79,,,
1/22/23,3,RTO,1167.604,,,
1/22/23,4,RTO,1071.631,,,
1/22/23,5,RTO,934.742,,,
1/22/23,6,RTO,1069.656,,,
1/22/23,7,RTO,1209.911,,,
1/22/23,8,RTO,1497.18,,,
1/22/23,9,RTO,1443.339,,,
1/22/23,10,RTO,1350.37,,,
1/22/23,11,RTO,1203.038,,,
1/22/23,12,RTO,1227.465,,,
1/22/23,13,RTO,1068.706,,,
1/22/23,14,RTO,1054.413,,,
1/22/23,15,RTO,1136.632,,,
1/22/23,16,RTO,1379.928,,,
1/22/23,17,RTO,1593.042,,,
1/22/23,18,RTO,1362.225,,,
1/22/23,19,RTO,989.152,,,
1/22/23,20,RTO,1099.99,,,
1/22/23,21,RTO,1212.692,,,
1/22/23,22,RTO,1441.025,,,
1/22/23,23,RTO,1637.764,,,
1/22/23,24,RTO,1763.35,,,
1/23/23,1,RTO,1797.633,,,
1/23/23,2,RTO,2044.06,,,
1/23/23,4,RTO,3108.069,,,
1/23/23,5,RTO,3543.937,,,
1/23/23,6,RTO,3667.562,,,
1/23/23,7,RTO,3409.153,,,
1/23/23,8,RTO,3613.23,,,
1/23/23,9,RTO,3473.814,,,
1/23/23,10,RTO,3462.608,,,
1/23/23,11,RTO,3475.52,,,
